userId,movieId,rating,timestamp
464,227,4.0,1275547964
226,3668,3.5,1101194159
84,527,5.0,857653594
195,2762,5.0,974705726
307,784,4.0,1186087476
6,313,3.0,845555546
420,1132,4.0,1229802731
489,82242,3.5,1333831122
305,4993,5.0,1460135293
496,2950,1.0,1415165587
291,5218,4.0,1453051567
236,2572,5.0,943015019
474,150,4.5,1100119714
68,62,3.5,1158531021
137,910,4.0,1204859856
331,33679,3.0,1537157954
336,552,3.0,1120568085
510,4993,2.5,1141160590
412,2108,5.0,939114304
33,2443,3.0,939654747
111,148626,5.0,1516141184
566,141,5.0,849006000
81,480,4.0,845299676
89,89898,3.5,1520409078
68,4886,4.5,1158531462
554,2541,4.0,944899564
202,913,4.0,974925496
356,3793,3.5,1229143154
177,6156,3.0,1435525284
517,78637,1.5,1487957992
381,8464,3.5,1200824522
249,43936,3.0,1346752584
602,293,3.0,840875901
191,224,4.0,829760897
474,2106,3.0,1002929032
84,1186,4.0,860397257
414,3693,3.0,961596368
72,590,4.0,1217324799
551,63113,4.0,1504926105
606,3528,4.0,1171405719
382,56176,2.0,1515161212
294,1285,3.0,966595458
232,43679,3.0,1163024114
352,3113,4.0,1493673901
73,117590,4.0,1464198220
453,4034,5.0,1005965432
21,1036,3.5,1418063296
288,7147,4.5,1086966493
608,7438,4.0,1189471137
462,55156,4.0,1408390433
135,231,2.0,1009691066
593,500,2.5,1181007988
382,31685,3.5,1515175071
183,110,5.0,992331285
610,8985,2.5,1493845630
232,37386,3.0,1218170359
290,955,5.0,974942093
608,2001,3.5,1117491601
599,46367,2.0,1519362625
602,371,3.0,840876371
85,53,5.0,889468268
424,7438,3.0,1457844583
119,1,3.5,1435942468
313,1639,4.0,1030555549
483,94070,4.0,1415577268
274,1261,4.5,1171786298
284,457,4.0,832699616
369,6296,3.0,1237082209
575,2506,4.0,926510350
41,1225,4.5,1459367677
226,4340,2.0,1101194126
426,337,4.5,1451081076
43,610,5.0,848994332
105,112183,4.0,1446572001
250,3418,5.0,1121217515
122,3949,5.0,1461561463
600,480,3.0,1237850755
232,6157,4.0,1141776676
448,6564,1.5,1107689602
387,6783,4.0,1094876963
318,8622,3.5,1448187797
105,104374,5.0,1446572423
19,2184,3.0,965712882
4,4273,4.0,1007574470
555,2574,2.0,978747097
216,1307,3.0,975212335
414,592,4.0,961515727
438,33154,4.0,1142283983
182,1136,4.0,1054784002
274,1464,3.5,1171492180
256,140725,4.0,1447010966
181,595,4.0,845469365
590,736,2.5,1258420533
154,73321,2.5,1486297269
274,31696,3.0,1171758428
19,3056,4.0,965711994
18,48394,4.0,1455049848
255,1230,1.0,1005717179
601,76093,5.0,1521398267
565,357,4.0,846533428
483,1220,3.0,1181494985
249,97921,4.5,1362263728
58,736,3.0,847718894
492,1431,4.0,863976781
83,4973,5.0,1332839836
123,4886,4.0,1447292485
26,349,3.0,836950286
290,911,4.0,974943209
252,81847,4.0,1498284146
217,910,4.0,955942801
217,1371,4.0,955940968
334,7451,3.5,1229959397
64,2916,3.0,1161520927
555,2717,2.0,978823310
354,1233,4.0,1200953127
555,337,5.0,978840870
275,593,5.0,1049078210
448,924,4.0,1019132961
608,8967,3.0,1117519588
199,4499,4.5,1074006476
219,2924,4.0,1194686406
256,68157,4.5,1446579771
212,2078,4.0,1523217061
495,46723,2.0,1458636685
216,3963,4.0,975598825
368,4008,2.0,975805443
64,1287,4.5,1161566123
28,8950,4.0,1234338550
606,2239,4.0,1171362103
80,3535,5.0,1377391391
169,1487,4.0,1059427720
382,55768,3.0,1515171694
474,2801,4.5,1100119890
194,163,3.0,1110316653
48,8636,4.5,1127128916
414,6367,4.0,1095466032
503,175,4.5,1335214491
428,4310,3.0,1111524703
18,589,4.5,1455209793
509,101962,3.0,1436393176
294,3263,1.0,966596048
448,52975,3.5,1183072734
387,6303,3.0,1094877584
479,2296,2.0,1039362699
15,68237,3.0,1510572824
489,7155,1.0,1333830959
164,1196,4.0,999708174
62,64957,4.5,1521489875
89,26429,4.0,1520409551
571,3264,1.0,966900418
89,3785,5.0,1520408446
153,64957,2.5,1525552006
322,356,3.5,1217676119
28,61350,3.5,1234335260
509,17,3.0,1435992515
354,260,4.0,1200870112
475,260,5.0,1498029369
480,8783,4.5,1179165674
244,2571,4.0,975090740
262,85,3.0,840306620
610,59727,4.5,1493848236
474,30793,4.0,1132423177
298,118696,3.0,1447599450
183,2534,4.0,992331596
44,1391,2.0,869252087
63,4896,1.5,1443200572
514,141994,0.5,1536381303
309,1276,4.0,1086563399
514,593,5.0,1533871755
137,3742,4.0,1204859928
571,3706,1.0,966900003
368,2115,2.0,975829315
265,1193,3.0,965316088
288,7163,3.0,1087476674
36,1372,3.0,1100803549
284,267,4.0,832787208
368,459,3.0,975829531
305,1183,2.5,1490211148
215,223,3.5,1260909311
414,4355,2.0,991145619
50,158238,3.0,1514239478
122,608,5.0,1461561468
474,329,4.0,1047054391
286,377,4.0,1119562872
580,231,2.5,1167673475
104,6169,3.0,1048586218
33,1621,2.0,939716819
230,2080,2.0,1196304120
89,32243,3.5,1520409112
380,673,4.0,1494278735
84,923,4.0,858772354
580,172,3.5,1167792949
380,839,2.0,1493668047
393,8644,0.5,1430507504
111,174045,4.0,1517440969
491,5299,3.5,1526673199
285,4447,2.5,1449626143
222,50,3.0,1391346849
356,3471,3.5,1232430688
36,1597,2.0,1100803701
453,5788,4.0,1040621384
39,1022,3.0,974789035
573,41569,4.5,1186722589
590,2011,3.0,1258420964
66,442,3.0,1093143935
368,1610,5.0,971275527
372,1590,2.0,874414588
608,3361,2.5,1117503046
517,3988,3.0,1487955838
577,2146,4.0,945978570
202,3430,3.0,974919079
514,5925,2.0,1534114147
552,2916,3.5,1111473045
288,2664,4.0,976138507
160,4306,4.0,1003333307
482,1200,4.5,1105396870
103,4896,2.5,1431957373
570,48780,3.5,1181476515
287,3916,1.5,1110230137
458,364,5.0,845651796
182,5014,4.0,1055157786
68,8781,2.5,1158534980
410,2184,5.0,990728374
94,457,4.0,843406685
520,1625,4.0,1326609718
339,5218,4.0,1460185460
249,47254,3.5,1355366360
517,1206,0.5,1487953357
603,164,4.0,953925390
232,3189,4.5,1218165499
534,66798,2.0,1459787996
19,2037,4.0,965707724
474,3686,3.0,1014924521
226,1409,2.5,1096420799
164,4023,3.0,999708085
42,1608,4.0,996220054
437,527,5.0,859721361
279,56782,4.5,1506395146
68,3535,3.0,1230498142
51,2420,3.0,1230932245
290,235,4.0,974938908
274,4011,2.5,1171172765
232,47640,3.5,1206992935
21,108932,1.0,1468113609
564,48385,3.0,1478451804
260,2599,4.0,1109408307
105,5445,3.5,1446749722
480,4361,3.5,1179178428
282,8622,4.5,1378497806
